,Name position,Exp required,Application date,Application day,Application way,Application way comments,Response date,Response day,Call/Interview,Second interview,Technical interview,Technical assignment,Job Offer
81,Operations Data Analyst,2-4 years,2021-01-18,Monday,Job application,Linkedin,2021-01-20,Wednesday,,,,,
82,Junior Data Engineer,0 years,2021-01-19,Tuesday,Email to recruiter,Linkedin,2021-01-19,Tuesday,2021-01-19,,,,
83,Senior Data Analyst,4+ years,2021-01-19,Tuesday,Job application,Linkedin,,,,,,,
84,Volume Forecast Data Analyst,2+ years,2021-01-19,Tuesday,Job application,Linkedin,,,,,,,
85,Data Engineer,2+ years,2021-01-19,Tuesday,DM to teamlead,Linkedin,2021-01-19,Tuesday,,,,,
86,Data Engineer,4+ years,2021-01-19,Tuesday,Email to recruiter,Linkedin,2021-01-25,Monday,,,,,
87,Junior Business Intelligence Analyst,0+ years,2021-01-20,Wednesday,Job application,Indeed,2021-01-22,Friday,,,,,
88,Junior Data Analyst Commercie,0-2 years,2021-01-20,Wednesday,Job application,Indeed,2021-01-21,Thursday,,,,,
89,Revenue Data Analyst,3-5 years,2021-01-20,Wednesday,Job application,Indeed,,,,,,,
90,Data Analyst,2-3 years,2021-01-20,Wednesday,Job application,Indeed,2021-01-26,Tuesday,,,,,
91,Wholesale Operations Analyst,1-2 years,2021-01-20,Wednesday,Job application,Indeed,,,,,,,
92,Data Engineer,2+ years,2021-01-20,Wednesday,Job application,Linkedin,,,,,,,
93,Data Engineer,3 years,2021-01-20,Wednesday,Job application,Linkedin,2021-01-28,Thursday,,,,,
94,Machine Learning Engineer,3 years,2021-01-20,Wednesday,Was contacted,Unknown,,,,,,,
95,BI Specialist,2+ years,2021-01-21,Thursday,Job application,Company website,,,,,,,
